Peptic ulceration
=================
76125	Cautery resect gastric ulcer
SLM/30972EMIS	Slofenac Sr  M/R tablets  100 
SLM/30974EMIS	Slofenac Sr  M/R tablets  75 m
SOTA16103NEMIS	Solpaflex  Tablets  
STLO14771NEMIS	Streflam  Lozenges  8.75 mg
STLO1530NEMIS	Strefen  Lozenges  8.75 mg
SUCA8866BRIDL	Surgam Sa  Capsules  300 mg
SUSA2744	Surgam  Sachets  300 mg
SUTA2724	Sulindac  Tablets  100 mg
SUTA2725	Sulindac  Tablets  200 mg
SUTA2745	Surgam  Tablets  300 mg
SUTA9172BRIDL	Surgam  Tablets  200 mg
SYTA4369	Synflex  Tablets  275 mg
TEEF23715EMIS	Tenoxicam  Effervescent tablet
TEGR22485EMIS	Tenoxicam  Granules  20 mg/sac
TETA20599EMIS	Tenoxicam  Tablets  20 mg
TICA13576NEMIS	Tiloket Cr  M/R capsules  100 
TICA13577NEMIS	Tiloket Cr  M/R capsules  200 
TICA18210NEMIS	Tiloket  Capsules  50 mg
TIE/32937EMIS	Timpron 250 Ec  E/c tablets  2
TIE/32939EMIS	Timpron 500 Ec  E/c tablets  5
TIS/9948HILLI	Tiaprofenic Acid  S/r capsules
TISA5449	Tiaprofenic Acid  Sachets  300
TITA24281EMIS	Timpron  Tablets  250 mg
TITA24282EMIS	Timpron  Tablets  500 mg
TITA2855	Tiaprofenic Acid  Tablets  300
TITA9554EMIS	Tiaprofenic Acid  Tablets  200
TOCA2877	Tolectin  Capsules  400 mg
TOCA5460	Tolmetin  Capsules  400 mg
TOCA9544BRIDL	Tolectin  Capsules  200 mg
TOCA9961HILLI	Tolmetin  Capsules  200 mg
TOTA21931EMIS	Toradol  Tablets  10 mg
VAE/9987HILLI	Valenac  Tablets  25 mg
VAE/9988HILLI	Valenac  Tablets  50 mg
VAM/12791NEMIS	Valdic 75 Retard  M/R tablets 
VAM/12793NEMIS	Valdic 100 Retard  M/R tablets
VAM/47025NEMIS	Valket Retard  M/R capsules  2
VATA15390NEMIS	Valdecoxib  Tablet  10 mg
VATA15392NEMIS	Valdecoxib  Tablet  20 mg
VATA15393NEMIS	Valdecoxib  Tablet  40 mg
VATA9991HILLI	Valrox  Tablets  250 mg
VATA9992HILLI	Valrox  Tablets  500 mg
VIM/47268NEMIS	Vimovo  M/R tablets  500 mg + 
VIOR472NEMIS	Vioxx  Oral suspension  12.5mg
VIOR473NEMIS	Vioxx  Oral suspension  25mg/5
VITA11577NEMIS	Vioxxacute  Tablets  25 mg
VITA11578NEMIS	Vioxxacute  Tablets  50 mg
VITA474NEMIS	Vioxx  Tablets  12.5 mg
VITA475NEMIS	Vioxx  Tablets  25 mg
VODI9425BRIDL	Voltarol  Dispersible tablets 
VOM/13540NEMIS	Volsaid Retard 75  M/R tablets
VOM/13542NEMIS	Volsaid Retard 100  M/R tablet
VOM/28767EMIS	Volsaid Sr 75  M/R tablets  75
VOM/28769EMIS	Volsaid Sr 100  M/R tablets  1
VOS/18019EMIS	Voltarol Sr  M/R tablets  75 m
VOTA1027NEMIS	Voltarol Rapid  Tablets  25 mg
VOTA1028NEMIS	Voltarol Rapid  Tablets  50 mg
VOTA3064	Voltarol  Tablets  25 mg
VOTA3065	Voltarol  Tablets  50 mg
VOTA3066	Voltarol Retard  M/R tablets  
VOTA31790NEMIS	Voltarol Pain-Eze  Tablets  12
VOTA8338EGTON	Voltaren Retard  M/R tablets  
VOTA9037BRIDL	Volraman  Tablets  25 mg
VOTA9039BRIDL	Volraman  Tablets  50 mg
XETA11606NEMIS	Xefo  Tablets  4 mg
XETA11607NEMIS	Xefo  Tablets  8 mg
diau.	Feminax Express 342mg tablets (Bayer Plc)
IBM/25575NEMIS	Ibuprofen 300mg modified-release capsules
INCA5025	Indometacin  Capsules  75 mg
NUOR33292NEMIS	Nurofen For Children  Oral Suspension (Strawberry)  100 mg/5 ml
NUOR33298NEMIS	Nurofen For Children  Oral Suspension (Orange)  100 mg/5 ml
SUCA2743	Surgam  Capsules  300 mg
DISU25795EMIS	Diclofenac 25mg suppositories
DISU25796EMIS	Diclofenac 50mg suppositories
DISU883	Diclofenac 100mg suppositories
INSU1460	Indocid 100mg suppositories (Aspen Pharma Trading Ltd)
INSU17690NEMIS	Indometacin 100mg suppositories
INSU5026	Indomethacin  Suppositories  100 mg
j224.	VOLTAROL supp 100mg
j225.	VOLTAROL supp 12.5mg
j22a.	DICLOFENAC SODIUM supp 100mg
j22b.	DICLOFENAC SODIUM supp 12.5mg
j22D.	VOLTAROL supp 25mg
j22E.	VOLTAROL supp 50mg
j22F.	DICLOFENAC SODIUM supp 25mg
j22G.	DICLOFENAC SODIUM supp 50mg
j293.	INDOMETACIN supp 100mg
j29c.	INDOCID SUP 100mg
VOSU25792EMIS	Voltarol 50mg suppositories (Novartis Pharmaceuticals UK Ltd)
VOSU3063	Voltarol 100mg suppositories (Novartis Pharmaceuticals UK Ltd)

Gastroprotective medication
===========================
a611.	TAGAMET 200mg tablets
a612.	TAGAMET 400mg tablets
a613.	TAGAMET 800mg tablets
a614.	TAGAMET 200mg/5mL syrup
a617.	*DYSPAMET CHEWTAB 200mg tabs
a618.	*DYSPAMET 200mg/5mL suspension
a619.	*CIMETIDNE 200mg/5mL sus 600mL
a61a.	*ALGITEC 200mg/500mg chew tabs
a61A.	*GALENAMET 200mg tablets
a61b.	*ALGITEC 100mg/250mg/5mL susp
a61B.	*GALENAMET 400mg tablets
a61c.	*CIMETIDINE COMPOUND susp
a61C.	*GALENAMET 800mg tablets
a61d.	*TAGAMET EFFERVESC 400mg tabs
a61D.	*CIMETIDINE 400mg eff tabs
a61e.	*PEPTIMAX 200mg tablets
a61E.	*CIMETIDINE 200mg chew tabs
a61f.	*PEPTIMAX 400mg tablets
a61F.	*PHIMETIN 200mg tablets
a61g.	*PEPTIMAX 800mg tablets
a61G.	*PHIMETIN 400mg tablets
a61H.	*PHIMETIN 800mg tablets
a61I.	CIMETIDINE 200mg/5mL s/f soln
a61K.	*ZITA 200mg tablets
a61L.	*ZITA 400mg tablets
a61M.	*ZITA 800mg tablets
a61N.	*ULTEC 200mg tablets
a61O.	*ULTEC 400mg tablets
a61P.	*ULTEC 800mg tablets
a61Q.	*ACITAK-200 tablets
a61R.	*ACITAK-400 tablets
a61s.	*CIMETIDINE+ALGINIC chew tabs
a61S.	*ACITAK-800 tablets
a61t.	*CIMETIDINE+ALGINATE susp
a61T.	*TAGAMET DUAL ACTION liq 200mL
a61u.	CIMETIDINE 200mg tablets
a61U.	*TAGAMET DUAL ACTION liq 600mL
a61v.	CIMETIDINE 400mg tablets
a61w.	CIMETIDINE 800mg tablets
a61x.	CIMETIDINE 200mg/5mL syrup
a621.	ZANTAC 150mg tablets
a622.	*ZANTAC 150mg disp tabs
a623.	ZANTAC 300mg tablets
a625.	ZANTAC 150mg/10mL sf syr 300mL
a626.	*ZANTAC EFFERVESCENT 150mg tab
a627.	*ZANTAC EFFERVESCENT 300mg tab
a628.	*RANITIDINE 150mg eff tabs
a629.	*RANITIDINE 300mg eff tabs
a62A.	*RACIRAN 150mg tablets
a62B.	*RACIRAN 300mg tablets
a62C.	*ZAEDOC 150 tablets
a62D.	*ZAEDOC 300 tablets
a62E.	*RANTEC 150mg tablets
a62F.	*RANTEC 300mg tablets
a62G.	RANITIC 150mg tablets
a62H.	RANITIC 300mg tablets
a62I.	HISTAC 150mg tablets
a62J.	HISTAC 300mg tablets
a62K.	RANITIL 150mg tablets
a62L.	RANITIL 300mg tablets
a62M.	ZANTAC 75 DISSOLVE eff tabs
a62N.	RANITIDINE 75mg tablets
a62O.	GAVILAST-P 75mg tablets
a62P.	RANZAC 75mg tablets
a62Q.	ZANTAC 75 tablets
a62u.	RANITIDINE 75mg eff tablets
a62v.	RANITIDINE 150mg/10mL s/f syr
a62w.	RANITIDINE 150mg tablets
a62x.	*RANITIDINE 150mg disp tabs
a62y.	RANITIDINE 300mg tablets
a68..	FAMOTIDINE
a681.	FAMOTIDINE 20mg tablets
a682.	FAMOTIDINE 40mg tablets
a683.	*PEPCID 20mg tablets
a684.	*PEPCID 40mg tablets
a691.	NIZATIDINE 150mg capsules
a692.	NIZATIDINE 300mg capsules
a693.	*AXID 150mg capsules
a694.	*AXID 300mg capsules
a697.	*ZINGA 150mg capsules
a698.	*ZINGA 300mg capsules
ACTA26301EMIS	Acitak  Tablets  200 mg
ACTA26302EMIS	Acitak  Tablets  400 mg
ACTA26303EMIS	Acitak  Tablets  800 mg
ALSU9283BRIDL	Algitec  Suspension
ALTA8881EGTON	Algitec  Chewable tablets
AXCA5859	Axid  Capsules  150 mg
AXCA9142BRIDL	Axid  Capsules  300 mg
CICH8422EGTON	Cimetidine  Chewable tablets  
CICH8966DLSEM	Cimetidine + Alginic Acid  Che
CIEF9243EMIS	Cimetidine  Effervescent table
CIOR14287NEMIS	Cimetidine  Oral solution  200
CISU13821NEMIS	Cimetidine  Sugar free suspens
CISU8967DLSEM	Cimetidine + Alginic Acid  Sus
CISY625	Cimetidine  Syrup  200 mg/5 ml
CITA626	Cimetidine  Tablets  200 mg
CITA627	Cimetidine  Tablets  400 mg
CITA628	Cimetidine  Tablets  800 mg
DYSU10204BRIDL	Dyspamet  Suspension  
DYTA5853	Dyspamet  Chewable tablets  20
FATA10123BRIDL	Famotidine  Tablets  40 mg
FATA7033	Famotidine  Tablets  20 mg
GATA23984EMIS	Galenamet  Tablets  200 mg
GATA23985EMIS	Galenamet  Tablets  400 mg
GATA23986EMIS	Galenamet  Tablets  800 mg
HITA6654NEMIS	Histac  Tablets  150 mg
HITA6655NEMIS	Histac  Tablets  300 mg
NICA6794	Nizatidine  Capsules  150 mg
NICA8558BRID	Nizatidine  Capsules  300 mg
PETA10769BRIDL	Peptimax 200  Tablets  200 mg
PETA10771BRIDL	Peptimax 400  Tablets  400 mg
PETA10773BRIDL	Peptimax 800  Tablets  800 mg
PETA5855	Pepcid  Tablets  20 mg
PETA9082BRIDL	Pepcid  Tablets  40 mg
PHTA22233EMIS	Phimetin  Tablets  200 mg
PHTA22234EMIS	Phimetin  Tablets  400 mg
PHTA22235EMIS	Phimetin  Tablets  800 mg
PYTA26985EMIS	Pylorid  Tablets  400 mg
RADI10652BRIDL	Ranitidine  Dispersible tablet
RAEF17935EMIS	Ranitidine  Effervescent table
RAEF17936EMIS	Ranitidine  Effervescent table
RAOR14288NEMIS	Ranitidine  Oral solution  Sug
RAS/10802BRIDL	Ranitidine  S/f syrup  75 mg/5
RASY8927BRECO	Ranitidine  Syrup  150 mg/10 m
RATA11631NEMIS	Ranitil  Tablets  150 mg
RATA11632NEMIS	Ranitil  Tablets  300 mg
RATA16163NEMIS	Ranzac  Tablets  75 mg
RATA2432	Ranitidine  Tablets  150 mg
RATA2433	Ranitidine  Tablets  300 mg
RATA26987EMIS	Ranitidine Bismuth Citrate  Ta
RATA31414EMIS	Raciran  Tablets  150 mg
RATA31415EMIS	Raciran  Tablets  300 mg
RATA35233EMIS	Ranitidine  Tablets  75 mg
RATA35520EMIS	Rantec  Tablets  150 mg
RATA35521EMIS	Rantec  Tablets  300 mg
RATA45008NEMIS	Ranitic  Tablets  150 mg
RATA45009NEMIS	Ranitic  Tablets  300 mg
TAEF9241EMIS	Tagamet  Effervescent tablets 
TASU29442EMIS	Tagamet Dual Action  Suspensio
TASY2774	Tagamet  Syrup  200 mg/5 ml
TATA2775	Tagamet  Tablets  200 mg
TATA2776	Tagamet  Tablets  400 mg
TATA2777	Tagamet  Tablets  800 mg
ULTA24242EMIS	Ultec  Tablets  200 mg
ULTA24243EMIS	Ultec  Tablets  400 mg
ULTA8961DLSEM	Ultec  Tablets  800 mg
ZADI8963EGTON	Zantac  Dispersible tablets  1
ZAEF16095NEMIS	Zantac 75 Relief Dissolve  Eff
ZAEF17931EMIS	Zantac  Effervescent tablets  
ZAEF17932EMIS	Zantac  Effervescent tablets  
ZAS/10816BRIDL	Zantac  S/f syrup  75 mg/5 ml
ZATA16093NEMIS	Zantac 75 Relief  Tablets  75 
ZATA3090	Zantac  Tablets  150 mg
ZATA3091	Zantac  Tablets  300 mg
ZATA32170EMIS	Zaedoc 150  Tablets  150 mg
ZATA32172EMIS	Zaedoc 300  Tablets  300 mg
ZATA35231EMIS	Zantac 75  Tablets  75 mg
ZICA26141EMIS	Zinga  Capsules  150 mg
ZICA26142EMIS	Zinga  Capsules  300 mg
ZITA23671EMIS	Zita  Tablets  200 mg
ZITA23672EMIS	Zita  Tablets  400 mg
ZITA23673EMIS	Zita  Tablets  800 mg
a24x.	PEPCIDTWO tabs
a615.	TAGAMET INJ 200
a61y.	CIMETIDINE inj 100mg/ml
a62..	Ranitidine 5mg/5ml oral solution
a62z.	Ranitidine 50mg/2ml solution for injection ampoules
a6d1.	RANITIDINE BISMUTH CITRATE TAB 400mg
a6d2.	PYLORID tabs 400mg
RAEF18098EMIS	Ranitidine  Effervescent Granules  150 mg
RAEF18099EMIS	Ranitidine Effervescent granules 300 mg
RAOR48248NEMIS	Ranitidine 5mg/5ml oral suspension
RAOR77545NEMIS	Ranitidine 5mg/5ml oral solution
a6b..	OMEPRAZOLE
a6b1.	OMEPRAZOLE 20mg e/c capsules
a6b2.	*LOSEC 20mg capsules x28
a6b3.	LOSEC 20mg capsules
a6b4.	LOSEC 40mg capsules
a6b5.	OMEPRAZOLE 40mg e/c capsules
a6b6.	LOSEC 10mg capsules
a6b7.	OMEPRAZOLE 10mg e/c capsules
a6bC.	LOSEC MUPS 10mg tablets
a6bD.	LOSEC MUPS 20mg tablets
a6bE.	LOSEC MUPS 40mg tablets
a6bF.	*OMERAN 10mg e/c tablets
a6bG.	*OMERAN 20mg e/c tablets
a6bH.	*OMERAN 40mg e/c tablets
a6bI.	ZANPROL 10mg e/c tablets
a6bJ.	*GALPHARM HEARTBURN 10mg tabs
a6bK.	UNICHEM HRTBRN RELIEF 10mg tab
a6bL.	VANTAGE HRTBURN RELF 10mg tabs
a6bM.	CARE HEARTBURN RELIF 10mg tabs
a6bN.	NUMARK HEARTBURN RLF 10mg tabs
a6bO.	MEPRADEC 10mg e/c capsules
a6bP.	MEPRADEC 20mg e/c capsules
a6bQ.	MEZZOPRAM 10mg g/r tablets
a6bR.	MEZZOPRAM 20mg g/r tablets
a6bS.	MEZZOPRAM 40mg g/r tablets
a6bu.	OMEPRAZOLE 10mg e/c tablets
a6bv.	OMEPRAZOLE 20mg e/c tablets
a6bw.	OMEPRAZOLE 40mg e/c tablets
a6bx.	OMEPRAZOLE 10mg tablets
a6by.	OMEPRAZOLE 20mg tablets
a6bz.	OMEPRAZOLE 40mg tablets
a6c..	LANSOPRAZOLE
a6c1.	*ZOTON 30mg capsules
a6c2.	LANSOPRAZOLE 30mg capsules
a6c3.	LANSOPRAZOLE 15mg capsules
a6c4.	*ZOTON 15mg capsules
a6c5.	*LANSOPRAZOLE 30mg suspension
a6c6.	*ZOTON 30mg oral suspension
a6c7.	LANSOPRAZOLE 15mg disp tabs
a6c8.	LANSOPRAZOLE 30mg disp tabs
a6c9.	ZOTON FASTAB 15mg disp tabs
a6cA.	ZOTON FASTAB 30mg disp tabs
a6e..	PANTOPRAZOLE
a6e1.	PANTOPRAZOLE 40mg e/c tablets
a6e2.	*PROTIUM 40mg e/c tablets
a6e5.	PANTOPRAZOLE 20mg e/c tablets
a6e6.	*PROTIUM 20mg e/c tablets
a6e7.	PANTOLOC CONTROL 20mg g/r tabs
a6f..	RABEPRAZOLE SODIUM
a6f1.	RABEPRAZOLE NA 10mg e/c tabs
a6f2.	RABEPRAZOLE NA 20mg e/c tabs
a6f3.	PARIET 10mg e/c tablets
a6f4.	PARIET 20mg e/c tablets
a6h..	ESOMEPRAZOLE
a6h1.	NEXIUM 20mg tablets
a6h2.	NEXIUM 40mg tablets
a6h4.	NEXIUM 10mg g/r granules
a6h5.	EMOZUL 20mg g/r capsules
a6h6.	EMOZUL 40mg g/r capsules
a6hu.	ESOMEPRAZOLE 40mg g/r capsules
a6hv.	ESOMEPRAZOLE 20mg g/r capsules
a6hw.	ESOMEPRAZOLE 10mg g/r granules
a6hy.	ESOMEPRAZOLE 40mg tablets
a6hz.	ESOMEPRAZOLE 20mg tablets
j2cZ.	NAPROX+ESOMEP 500/20mg m/r tab
EMGA45519NEMIS	Emozul  Gastro-resistant Capsu
EMGA45520NEMIS	Emozul  Gastro-resistant Capsu
ESGA39420NEMIS	Esomeprazole  Granules for Ora
ESGA45517NEMIS	Esomeprazole  Gastro-resistant
ESGA45518NEMIS	Esomeprazole  Gastro-resistant
ESPO17143NEMIS	Esomeprazole  Powder For Solut
ESTA5124NEMIS	Esomeprazole  Gastro-resistant
ESTA5126NEMIS	Esomeprazole  Gastro-resistant
KEM/39417NEMIS	Ketoprofen And Omeprazole  M/R
KEM/39418NEMIS	Ketoprofen And Omeprazole  M/R
LACA24446EMIS	Lansoprazole  Capsules (Gastro
LACA28117EMIS	Lansoprazole  Capsules (Gastro
LAOR14898NEMIS	Lansoprazole  Orodispersible t
LAOR14900NEMIS	Lansoprazole  Orodispersible t
LASU34195EMIS	Lansoprazole  Granules for Ora
LOCA23820EMIS	Losec  Capsules  40 mg
LOCA25323EMIS	Losec  Capsules  10 mg
LOCA9369BRIDL	Losec  Capsules  20 mg
LOTA1189NEMIS	Losec Mups  Tablets  10 mg
LOTA1190NEMIS	Losec Mups  Tablets  20 mg
LOTA1191NEMIS	Losec Mups  Tablets  40 mg
MECA23120NEMIS	Mepradec  Capsules (Gastro-Res
MEGA23119NEMIS	Mepradec  Capsules (Gastro-Res
MEGA48143NEMIS	Mezzopram  Gastro-resistant Ta
MEGA48144NEMIS	Mezzopram  Gastro-resistant Ta
MEGA48145NEMIS	Mezzopram  Gastro-resistant Ta
NAM/47266NEMIS	Naproxen And Esomeprazole  M/R
NEGR39419NEMIS	Nexium  Granules for Oral Susp
NETA5128NEMIS	Nexium  Tablets  20 mg
NETA5129NEMIS	Nexium  Tablets  40 mg
OMCA10940BRIDL	Omeprazole  Capsules (Gastro-R
OMCA23822EMIS	Omeprazole  Capsules (Gastro-R
OMCA25325EMIS	Omeprazole  Capsules (Gastro-R
OMCA36304MGEMIS	Omeprazole  Capsules  20 mg (A
OMCA36305MGEMIS	Omeprazole  Capsules  20 mg (U
OMCA36306MGEMIS	Omeprazole  Capsules  20 mg (T
OMCA36307MGEMIS	Omeprazole  Capsules  20 mg (S
OMCA36308MGEMIS	Omeprazole  Capsules  20 mg (I
OMCA36309MGEMIS	Omeprazole  Capsules  20 mg (R
OMCA36310MGEMIS	Omeprazole  Capsules  20 mg (A
OMCA36311MGEMIS	Omeprazole  Capsules  20 mg (W
OMCA36312MGEMIS	Omeprazole  Capsules  20 mg (G
OMCA36313MGEMIS	Omeprazole  Capsules  20 mg (K
OMCA36314MGEMIS	Omeprazole  Capsules  20 mg (S
OMCA36315MGEMIS	Omeprazole  Capsules  20 mg (W
OMCA36316MGEMIS	Omeprazole  Capsules  40 mg (W
OMCA36317MGEMIS	Omeprazole  Capsules  40 mg (U
OMCA36318MGEMIS	Omeprazole  Capsules  40 mg (K
OMCA36319MGEMIS	Omeprazole  Capsules  40 mg (R
OMCA36320MGEMIS	Omeprazole  Capsules  40 mg (S
OMCA36321MGEMIS	Omeprazole  Capsules  40 mg (G
OMCA36322MGEMIS	Omeprazole  Capsules  40 mg (I
OMCA36323MGEMIS	Omeprazole  Capsules  40 mg (T
OMCA36324MGEMIS	Omeprazole  Capsules  40 mg (A
OMCA36325MGEMIS	Omeprazole  Capsules  40 mg (S
OMCA36326MGEMIS	Omeprazole  Capsules  40 mg (P
OMCA36327MGEMIS	Omeprazole  Capsules  40 mg (W
OMCA36328MGEMIS	Omeprazole  Capsules  10 mg (R
OMCA36329MGEMIS	Omeprazole  Capsules  10 mg (I
OMCA36330MGEMIS	Omeprazole  Capsules  10 mg (A
OMCA36331MGEMIS	Omeprazole  Capsules  10 mg (W
OMCA36332MGEMIS	Omeprazole  Capsules  10 mg (T
OMCA36333MGEMIS	Omeprazole  Capsules  10 mg (K
OMCA36334MGEMIS	Omeprazole  Capsules  10 mg (U
OMCA36335MGEMIS	Omeprazole  Capsules  10 mg (S
OMCA36336MGEMIS	Omeprazole  Capsules  10 mg (G
OMCA36337MGEMIS	Omeprazole  Capsules  10 mg (A
OMCA36338MGEMIS	Omeprazole  Capsules  10 mg (S
OMCA36339MGEMIS	Omeprazole  Capsules  10 mg (P
OMCA36340MGEMIS	Omeprazole  Capsules  10 mg (W
OMDI13049NEMIS	Omeprazole  Dispersible (Gastr
OMDI13050NEMIS	Omeprazole  Dispersible (Gastr
OMDI13051NEMIS	Omeprazole  Dispersible (Gastr
OMIN931NEMIS	Omeprazole  Powder for solutio
OMOR22068NEMIS	Omeprazole  Oral suspension  2
OMOR23126NEMIS	Omeprazole  Oral suspension  1
OMOR46512NEMIS	Omeprazole  Oral solution  40 
OMOR46513NEMIS	Omeprazole  Oral suspension  4
OMPO4912NEMIS	Omeprazole  Powder with solven
OMTA1186NEMIS	Omeprazole  Tablets (Gastro-Re
OMTA1187NEMIS	Omeprazole  Tablets (Gastro-Re
OMTA1188NEMIS	Omeprazole  Tablets (Gastro-Re
OMTA14454NEMIS	Omeran  Tablets  10 mg
OMTA14455NEMIS	Omeran  Tablets  20 mg
OMTA14456NEMIS	Omeran  Tablets  40 mg
PATA199NEMIS	Pantoprazole  Gastro-resistant
PATA29719EMIS	Pantoprazole  Gastro-resistant
PATA34090EMIS	Pariet  E/c tablets  10 mg
PATA34091EMIS	Pariet  E/c tablets  20 mg
PRTA200NEMIS	Protium  E/c tablets  20 mg
PRTA29717EMIS	Protium  E/c tablets  40 mg
RATA34094EMIS	Rabeprazole Sodium  E/c tablet
RATA34095EMIS	Rabeprazole Sodium  E/c tablet
ZATA17254NEMIS	Zanprol  Tablets (Gastro-Resis
ZOCA24444EMIS	Zoton  Capsules (Gastro-Resist
ZOCA28115EMIS	Zoton  Capsules (Gastro-Resist
ZOOR14902NEMIS	Zoton Fastab  Orodispersible t
ZOOR14903NEMIS	Zoton Fastab  Orodispersible t
ZOSU34193EMIS	Zoton  Granules for Oral Suspe
a6g1.	AMOXYCILL + CLARITHROMY & LANSOPRAZ tri pac 500mg+500mg+30mg
a6hx.	ESOMEPRAZOLE pwdr/inj.soln 40mg/vial
LAOR42925NEMIS	Lansoprazole  Oral suspension  5 mg/5 ml
OMOR45586NEMIS	Omeprazole 5mg/5ml oral suspension

Antiplatelets
=============
ANTA9568BRIDL	Angettes 75  Tablets  75 mg
ASDI223	Aspirin  Dispersible tablets  
ASDI224	Aspirin  Dispersible tablets  
ASDI33798MGEMIS	Aspirin  Dispersible tablets  
ASDI33799MGEMIS	Aspirin  Dispersible tablets  
ASDI33800MGEMIS	Aspirin  Dispersible tablets  
ASDI33801MGEMIS	Aspirin  Dispersible tablets  
ASDI33802MGEMIS	Aspirin  Dispersible tablets  
ASDI33803MGEMIS	Aspirin  Dispersible tablets  
ASDI33804MGEMIS	Aspirin  Dispersible tablets  
ASDI33805MGEMIS	Aspirin  Dispersible tablets  
ASDI33806MGEMIS	Aspirin  Dispersible tablets  
ASDI33807MGEMIS	Aspirin  Dispersible tablets  
ASDI33808MGEMIS	Aspirin  Dispersible tablets  
ASDI33809MGEMIS	Aspirin  Dispersible tablets  
ASDI33810MGEMIS	Aspirin  Dispersible tablets  
ASDI33811MGEMIS	Aspirin  Dispersible tablets  
ASE/24520EMIS	Aspirin  E/c tablets  75 mg
ASE/24522EMIS	Aspirin  E/c tablets  300 mg
ASE/26084EMIS	Aspirin  E/c tablets  600 mg
ASE/33812MGEMIS	Aspirin  E/c tablets  75 mg (K
ASE/33813MGEMIS	Aspirin  E/c tablets  75 mg (A
ASE/33814MGEMIS	Aspirin  E/c tablets  75 mg (A
ASE/33815MGEMIS	Aspirin  E/c tablets  75 mg (T
ASE/33816MGEMIS	Aspirin  E/c tablets  75 mg (U
ASE/33817MGEMIS	Aspirin  E/c tablets  75 mg (S
ASE/33818MGEMIS	Aspirin  E/c tablets  75 mg (S
ASE/33819MGEMIS	Aspirin  E/c tablets  75 mg (I
ASE/33820MGEMIS	Aspirin  E/c tablets  75 mg (G
ASE/33821MGEMIS	Aspirin  E/c tablets  75 mg (C
ASE/33822MGEMIS	Aspirin  E/c tablets  300 mg (
ASE/33823MGEMIS	Aspirin  E/c tablets  300 mg (
ASE/33824MGEMIS	Aspirin  E/c tablets  300 mg (
ASE/33825MGEMIS	Aspirin  E/c tablets  300 mg (
ASE/33826MGEMIS	Aspirin  E/c tablets  300 mg (
ASE/37491NEMIS	Aspirin Protect  E/c tablets  
ASM/22792EMIS	Aspirin  M/R tablets  100 mg
ASM/22793EMIS	Aspirin  M/R tablets  300 mg
ASM/33164EMIS	Asasantin Retard  M/R capsules
ASPO24105NEMIS	Aspirin  Powder Sachets Lactos
ASS/9158HILLI	Aspirin  E/c tablets  324 mg
ASSU3023NEMIS	Aspirin  Suppositories  300 mg
ASSU3024NEMIS	Aspirin  Suppositories  150 mg
ASSU37686MGEMIS	Aspirin  Suppositories  300 mg
ASSU37687MGEMIS	Aspirin  Suppositories  300 mg
ASSU37688MGEMIS	Aspirin  Suppositories  300 mg
ASSU37689MGEMIS	Aspirin  Suppositories  300 mg
ASTA10221BRIDL	Aspirin E/C  Tablets  300 mg
ASTA225	Aspirin  Tablets  300 mg
ASTA33850MGEMIS	Aspirin  Tablets  300 mg (Kent
ASTA33851MGEMIS	Aspirin  Tablets  300 mg (Unic
ASTA33852MGEMIS	Aspirin  Tablets  300 mg (Alph
ASTA33853MGEMIS	Aspirin  Tablets  300 mg (OBG 
ASTA33854MGEMIS	Aspirin  Tablets  300 mg (Aspa
ASTA33855MGEMIS	Aspirin  Tablets  300 mg (A.A.
ASTA33856MGEMIS	Aspirin  Tablets  300 mg (Vant
ASTA33857MGEMIS	Aspirin  Tablets  300 mg (Lloy
ASTA4609	Aspirin  Tablets  75 mg
ASTA5694	Aspirin Dispersible Low Dose  
ASTA5696	Aspergum  Chewable tablets  22
ASTA6958	Aspirin  Tablets  500 mg
ASTA7014	Aspirin  Tablets  600 mg
ASTA9082HILLI	Aspirin E/C  Tablets  600 mg
blm..	*ISMN+ASPIRIN
blm1.	*IMAZIN XL 60mg/75mg m/r tabs
blm2.	*IMAZIN XL FORT 60/150 m/r tab
blmy.	*ISMN+ASPIRIN 60/150mg m/r tab
blmz.	*ISMN+ASPIRIN 60/75mg m/r tabs
bu2..	ASPIRIN [ANTIPLATELET]
bu21.	*ASPIRIN 100mg eff tabs
bu22.	*PLATET 100mg eff tabs
bu23.	ASPIRIN 75mg disp tabs
bu24.	*ANGETTES 75mg tablets
bu25.	*ASPIRIN 75mg tablets
bu26.	*PLATET 300mg eff tabs
bu27.	*ASPIRIN 300mg eff tabs
bu28.	*DISPRIN CV 100mg m/r tablets
bu29.	*ASPIRIN 100mg m/r tablets
bu2a.	*DISPRIN CV 300mg m/r tablets
bu2A.	NU-SEALS ASPIRIN 75mg e/c tabs
bu2b.	*ASPIRIN 300mg m/r tablets
bu2B.	ASPIRIN 75mg e/c tablets
bu2c.	ASPIRIN 75mg soluble tablets
bu2C.	*POSTMI 300mg e/c tablets
bu2d.	FLAMASACARD 162.5mg m/r caps
bu2D.	*POSTMI 75mg dispersible tabs
bu2E.	*POSTMI 75mg e/c tablets
bu2F.	CAPRIN 75mg e/c tablets
bu2G.	*NU-SEALS CARDIO 75 e/c tabs
bu2H.	*ENPRIN 75mg e/c tablets
bu2I.	ASPIRIN 162.5mg m/r capsules
bu2J.	*CASPAC XL 162.5mg m/r caps
bu2K.	MICROPIRIN 75mg e/c tablets
bu4..	DIPYRIDAMOLE+ASPIRIN
bu41.	DIPYRID+ASP 200mg/25mg m/r cap
